Date,Lamb and Mutton_Production
1921-01-01,44.0
1921-02-01,39.0
1921-03-01,45.0
1921-04-01,41.0
1921-05-01,37.0
1921-06-01,39.0
1921-07-01,35.0
1921-08-01,44.0
1921-09-01,45.0
1921-10-01,48.0
1921-11-01,40.0
1921-12-01,35.0
1922-01-01,37.0
1922-02-01,31.0
1922-03-01,34.0
1922-04-01,29.0
1922-05-01,33.0
1922-06-01,36.0
1922-07-01,34.0
1922-08-01,37.0
1922-09-01,38.0
1922-10-01,38.0
1922-11-01,35.0
1922-12-01,35.0
1923-01-01,43.0
1923-02-01,35.0
1923-03-01,39.0
1923-04-01,38.0
1923-05-01,37.0
1923-06-01,34.0
1923-07-01,35.0
1923-08-01,35.0
1923-09-01,37.0
1923-10-01,40.0
1923-11-01,35.0
1923-12-01,38.0
1924-01-01,43.0
1924-02-01,36.0
1924-03-01,35.0
1924-04-01,34.0
1924-05-01,37.0
1924-06-01,35.0
1924-07-01,38.0
1924-08-01,39.0
1924-09-01,43.0
1924-10-01,44.0
1924-11-01,37.0
1924-12-01,38.0
1925-01-01,40.0
1925-02-01,35.0
1925-03-01,41.0
1925-04-01,41.0
1925-05-01,41.0
1925-06-01,36.0
1925-07-01,39.0
1925-08-01,39.0
1925-09-01,41.0
1925-10-01,42.0
1925-11-01,34.0
1925-12-01,39.0
1926-01-01,43.0
1926-02-01,41.0
1926-03-01,48.0
1926-04-01,40.0
1926-05-01,37.0
1926-06-01,40.0
1926-07-01,38.0
1926-08-01,40.0
1926-09-01,46.0
1926-10-01,44.0
1926-11-01,40.0
1926-12-01,45.0
1927-01-01,44.0
1927-02-01,41.0
1927-03-01,42.0
1927-04-01,38.0
1927-05-01,38.0
1927-06-01,39.0
1927-07-01,38.0
1927-08-01,45.0
1927-09-01,45.0
1927-10-01,46.0
1927-11-01,42.0
1927-12-01,45.0
1928-01-01,47.0
1928-02-01,44.0
1928-03-01,42.0
1928-04-01,36.0
1928-05-01,38.0
1928-06-01,41.0
1928-07-01,39.0
1928-08-01,45.0
1928-09-01,49.0
1928-10-01,54.0
1928-11-01,46.0
1928-12-01,41.0
1929-01-01,45.0
1929-02-01,38.0
1929-03-01,41.0
1929-04-01,45.0
1929-05-01,46.0
1929-06-01,42.0
1929-07-01,47.0
1929-08-01,49.0
1929-09-01,50.0
1929-10-01,53.0
1929-11-01,45.0
1929-12-01,44.0
1930-01-01,50.0
1930-02-01,50.0
1930-03-01,56.0
1930-04-01,56.0
1930-05-01,53.0
1930-06-01,48.0
1930-07-01,52.0
1930-08-01,52.0
1930-09-01,59.0
1930-10-01,65.0
1930-11-01,51.0
1930-12-01,56.0
1931-01-01,58.0
1931-02-01,51.0
1931-03-01,54.0
1931-04-01,59.0
1931-05-01,54.0
1931-06-01,56.0
1931-07-01,54.0
1931-08-01,58.0
1931-09-01,61.0
1931-10-01,67.0
1931-11-01,57.0
1931-12-01,60.0
1932-01-01,64.0
1932-02-01,56.0
1932-03-01,56.0
1932-04-01,59.0
1932-05-01,55.0
1932-06-01,55.0
1932-07-01,50.0
1932-08-01,59.0
1932-09-01,63.0
1932-10-01,61.0
1932-11-01,53.0
1932-12-01,50.0
1933-01-01,54.0
1933-02-01,51.0
1933-03-01,58.0
1933-04-01,56.0
1933-05-01,58.0
1933-06-01,55.0
1933-07-01,51.0
1933-08-01,57.0
1933-09-01,61.0
1933-10-01,64.0
1933-11-01,53.0
1933-12-01,56.0
1934-01-01,57.0
1934-02-01,48.0
1934-03-01,51.0
1934-04-01,47.0
1934-05-01,47.0
1934-06-01,46.0
1934-07-01,48.0
1934-08-01,57.0
1934-09-01,56.0
1934-10-01,64.0
1934-11-01,52.0
1934-12-01,51.0
1935-01-01,53.0
1935-02-01,46.0
1935-03-01,56.0
1935-04-01,61.0
1935-05-01,65.0
1935-06-01,56.0
1935-07-01,60.0
1935-08-01,64.0
1935-09-01,60.0
1935-10-01,70.0
1935-11-01,56.0
1935-12-01,55.0
1936-01-01,64.0
1936-02-01,55.0
1936-03-01,58.0
1936-04-01,52.0
1936-05-01,47.0
1936-06-01,48.0
1936-07-01,50.0
1936-08-01,52.0
1936-09-01,61.0
1936-10-01,68.0
1936-11-01,61.0
1936-12-01,65.0
1937-01-01,70.0
1937-02-01,54.0
1937-03-01,54.0
1937-04-01,54.0
1937-05-01,54.0
1937-06-01,54.0
1937-07-01,53.0
1937-08-01,58.0
1937-09-01,64.0
1937-10-01,59.0
1937-11-01,52.0
1937-12-01,58.0
1938-01-01,65.0
1938-02-01,60.0
1938-03-01,60.0
1938-04-01,58.0
1938-05-01,62.0
1938-06-01,56.0
1938-07-01,55.0
1938-08-01,62.0
1938-09-01,66.0
1938-10-01,64.0
1938-11-01,57.0
1938-12-01,55.0
1939-01-01,61.0
1939-02-01,58.0
1939-03-01,63.0
1939-04-01,51.0
1939-05-01,55.0
1939-06-01,53.0
1939-07-01,53.0
1939-08-01,57.0
1939-09-01,63.0
1939-10-01,62.0
1939-11-01,59.0
1939-12-01,58.0
1940-01-01,67.0
1940-02-01,56.0
1940-03-01,55.0
1940-04-01,57.0
1940-05-01,57.0
1940-06-01,52.0
1940-07-01,55.0
1940-08-01,57.0
1940-09-01,58.0
1940-10-01,70.0
1940-11-01,59.0
1940-12-01,59.0
1941-01-01,70.0
1941-02-01,61.0
1941-03-01,62.0
1941-04-01,62.0
1941-05-01,65.0
1941-06-01,54.0
1941-07-01,62.0
1941-08-01,60.0
1941-09-01,63.0
1941-10-01,67.0
1941-11-01,57.0
1941-12-01,66.0
1942-01-01,69.0
1942-02-01,62.0
1942-03-01,73.0
1942-04-01,68.0
1942-05-01,61.0
1942-06-01,59.0
1942-07-01,67.0
1942-08-01,73.0
1942-09-01,87.0
1942-10-01,91.0
1942-11-01,83.0
1942-12-01,88.0
1943-01-01,71.0
1943-02-01,63.0
1943-03-01,65.0
1943-04-01,64.0
1943-05-01,70.0
1943-06-01,66.0
1943-07-01,78.0
1943-08-01,89.0
1943-09-01,98.0
1943-10-01,104.0
1943-11-01,94.0
1943-12-01,94.0
1944-01-01,171.0
1944-02-01,136.0
1944-03-01,142.0
1944-04-01,125.0
1944-05-01,146.0
1944-06-01,148.0
1944-07-01,154.0
1944-08-01,162.0
1944-09-01,171.0
1944-10-01,190.0
1944-11-01,172.0
1944-12-01,172.0
1945-01-01,190.0
1945-02-01,152.0
1945-03-01,163.0
1945-04-01,145.0
1945-05-01,164.0
1945-06-01,164.0
1945-07-01,154.0
1945-08-01,144.0
1945-09-01,151.0
1945-10-01,181.0
1945-11-01,163.0
1945-12-01,170.0
1946-01-01,140.0
1946-02-01,210.0
1946-03-01,187.0
1946-04-01,159.0
1946-05-01,122.0
1946-06-01,140.0
1946-07-01,146.0
1946-08-01,137.0
1946-09-01,117.0
1946-10-01,180.0
1946-11-01,136.0
1946-12-01,123.0
1947-01-01,142.0
1947-02-01,119.0
1947-03-01,120.0
1947-04-01,126.0
1947-05-01,125.0
1947-06-01,115.0
1947-07-01,112.0
1947-08-01,109.0
1947-09-01,126.0
1947-10-01,146.0
1947-11-01,127.0
1947-12-01,129.0
1948-01-01,125.0
1948-02-01,116.0
1948-03-01,115.0
1948-04-01,101.0
1948-05-01,89.0
1948-06-01,110.0
1948-07-01,105.0
1948-08-01,112.0
1948-09-01,130.0
1948-10-01,140.0
1948-11-01,129.0
1948-12-01,121.0
1949-01-01,116.0
1949-02-01,99.0
1949-03-01,90.0
1949-04-01,65.0
1949-05-01,72.0
1949-06-01,79.0
1949-07-01,86.0
1949-08-01,102.0
1949-09-01,105.0
1949-10-01,107.0
1949-11-01,100.0
1949-12-01,102.0
1950-01-01,106.0
1950-02-01,88.0
1950-03-01,95.0
1950-04-01,84.0
1950-05-01,90.0
1950-06-01,92.0
1950-07-01,88.0
