Date,Year,Month,Unit,Production,Animal,Commercial or Federally Inspected,Type of Meat
2023-12-01,2023,12,Million Pounds,2189.8,Beef,Commercial,Red Meat
2023-11-01,2023,11,Million Pounds,2280.9,Beef,Commercial,Red Meat
2023-10-01,2023,10,Million Pounds,2340.9,Beef,Commercial,Red Meat
2023-09-01,2023,9,Million Pounds,2149.4,Beef,Commercial,Red Meat
2023-08-01,2023,8,Million Pounds,2363.5,Beef,Commercial,Red Meat
2023-07-01,2023,7,Million Pounds,2107.9,Beef,Commercial,Red Meat
2023-06-01,2023,6,Million Pounds,2335.0,Beef,Commercial,Red Meat
2023-05-01,2023,5,Million Pounds,2305.8,Beef,Commercial,Red Meat
2023-04-01,2023,4,Million Pounds,2069.4,Beef,Commercial,Red Meat
2023-03-01,2023,3,Million Pounds,2404.8,Beef,Commercial,Red Meat
2023-02-01,2023,2,Million Pounds,2092.2,Beef,Commercial,Red Meat
2023-01-01,2023,1,Million Pounds,2324.6,Beef,Commercial,Red Meat
2022-12-01,2022,12,Million Pounds,2225.6,Beef,Commercial,Red Meat
2022-11-01,2022,11,Million Pounds,2422.0,Beef,Commercial,Red Meat
2022-10-01,2022,10,Million Pounds,2404.3,Beef,Commercial,Red Meat
2022-09-01,2022,9,Million Pounds,2390.1,Beef,Commercial,Red Meat
2022-08-01,2022,8,Million Pounds,2506.0,Beef,Commercial,Red Meat
2022-07-01,2022,7,Million Pounds,2247.8,Beef,Commercial,Red Meat
2022-06-01,2022,6,Million Pounds,2456.0,Beef,Commercial,Red Meat
2022-05-01,2022,5,Million Pounds,2288.9,Beef,Commercial,Red Meat
2022-04-01,2022,4,Million Pounds,2326.7,Beef,Commercial,Red Meat
2022-03-01,2022,3,Million Pounds,2506.7,Beef,Commercial,Red Meat
2022-02-01,2022,2,Million Pounds,2250.2,Beef,Commercial,Red Meat
2022-01-01,2022,1,Million Pounds,2266.4,Beef,Commercial,Red Meat
2021-12-01,2021,12,Million Pounds,2362.5,Beef,Commercial,Red Meat
2021-11-01,2021,11,Million Pounds,2380.1,Beef,Commercial,Red Meat
2021-10-01,2021,10,Million Pounds,2363.5,Beef,Commercial,Red Meat
2021-09-01,2021,9,Million Pounds,2300.0,Beef,Commercial,Red Meat
2021-08-01,2021,8,Million Pounds,2360.6,Beef,Commercial,Red Meat
2021-07-01,2021,7,Million Pounds,2318.6,Beef,Commercial,Red Meat
2021-06-01,2021,6,Million Pounds,2400.7,Beef,Commercial,Red Meat
2021-05-01,2021,5,Million Pounds,2213.9,Beef,Commercial,Red Meat
2021-04-01,2021,4,Million Pounds,2348.6,Beef,Commercial,Red Meat
2021-03-01,2021,3,Million Pounds,2481.7,Beef,Commercial,Red Meat
2021-02-01,2021,2,Million Pounds,2107.6,Beef,Commercial,Red Meat
2021-01-01,2021,1,Million Pounds,2310.4,Beef,Commercial,Red Meat
2020-12-01,2020,12,Million Pounds,2327.4,Beef,Commercial,Red Meat
2020-11-01,2020,11,Million Pounds,2267.3,Beef,Commercial,Red Meat
2020-10-01,2020,10,Million Pounds,2474.2,Beef,Commercial,Red Meat
2020-09-01,2020,9,Million Pounds,2356.5,Beef,Commercial,Red Meat
2020-08-01,2020,8,Million Pounds,2335.6,Beef,Commercial,Red Meat
2020-07-01,2020,7,Million Pounds,2423.2,Beef,Commercial,Red Meat
2020-06-01,2020,6,Million Pounds,2375.7,Beef,Commercial,Red Meat
2020-05-01,2020,5,Million Pounds,1865.6,Beef,Commercial,Red Meat
2020-04-01,2020,4,Million Pounds,1817.3,Beef,Commercial,Red Meat
2020-03-01,2020,3,Million Pounds,2411.2,Beef,Commercial,Red Meat
2020-02-01,2020,2,Million Pounds,2131.3,Beef,Commercial,Red Meat
2020-01-01,2020,1,Million Pounds,2388.4,Beef,Commercial,Red Meat
2019-12-01,2019,12,Million Pounds,2265.1,Beef,Commercial,Red Meat
2019-11-01,2019,11,Million Pounds,2296.9,Beef,Commercial,Red Meat
2019-10-01,2019,10,Million Pounds,2439.3,Beef,Commercial,Red Meat
2019-09-01,2019,9,Million Pounds,2188.6,Beef,Commercial,Red Meat
2019-08-01,2019,8,Million Pounds,2373.4,Beef,Commercial,Red Meat
2019-07-01,2019,7,Million Pounds,2360.7,Beef,Commercial,Red Meat
2019-06-01,2019,6,Million Pounds,2227.1,Beef,Commercial,Red Meat
2019-05-01,2019,5,Million Pounds,2328.0,Beef,Commercial,Red Meat
2019-04-01,2019,4,Million Pounds,2261.7,Beef,Commercial,Red Meat
2019-03-01,2019,3,Million Pounds,2117.1,Beef,Commercial,Red Meat
2019-02-01,2019,2,Million Pounds,1987.1,Beef,Commercial,Red Meat
2019-01-01,2019,1,Million Pounds,2309.6,Beef,Commercial,Red Meat
2018-12-01,2018,12,Million Pounds,2116.0,Beef,Commercial,Red Meat
2018-11-01,2018,11,Million Pounds,2315.1,Beef,Commercial,Red Meat
2018-10-01,2018,10,Million Pounds,2430.6,Beef,Commercial,Red Meat
2018-09-01,2018,9,Million Pounds,2157.5,Beef,Commercial,Red Meat
2018-08-01,2018,8,Million Pounds,2429.6,Beef,Commercial,Red Meat
2018-07-01,2018,7,Million Pounds,2231.6,Beef,Commercial,Red Meat
2018-06-01,2018,6,Million Pounds,2300.9,Beef,Commercial,Red Meat
2018-05-01,2018,5,Million Pounds,2307.0,Beef,Commercial,Red Meat
2018-04-01,2018,4,Million Pounds,2117.7,Beef,Commercial,Red Meat
2018-03-01,2018,3,Million Pounds,2203.5,Beef,Commercial,Red Meat
2018-02-01,2018,2,Million Pounds,1983.9,Beef,Commercial,Red Meat
2018-01-01,2018,1,Million Pounds,2279.0,Beef,Commercial,Red Meat
2017-12-01,2017,12,Million Pounds,2148.4,Beef,Commercial,Red Meat
2017-11-01,2017,11,Million Pounds,2290.6,Beef,Commercial,Red Meat
2017-10-01,2017,10,Million Pounds,2303.0,Beef,Commercial,Red Meat
2017-09-01,2017,9,Million Pounds,2225.6,Beef,Commercial,Red Meat
2017-08-01,2017,8,Million Pounds,2402.1,Beef,Commercial,Red Meat
2017-07-01,2017,7,Million Pounds,2107.9,Beef,Commercial,Red Meat
2017-06-01,2017,6,Million Pounds,2280.3,Beef,Commercial,Red Meat
2017-05-01,2017,5,Million Pounds,2163.4,Beef,Commercial,Red Meat
2017-04-01,2017,4,Million Pounds,1963.1,Beef,Commercial,Red Meat
2017-03-01,2017,3,Million Pounds,2249.7,Beef,Commercial,Red Meat
2017-02-01,2017,2,Million Pounds,1933.9,Beef,Commercial,Red Meat
2017-01-01,2017,1,Million Pounds,2119.3,Beef,Commercial,Red Meat
2016-12-01,2016,12,Million Pounds,2173.3,Beef,Commercial,Red Meat
2016-11-01,2016,11,Million Pounds,2240.2,Beef,Commercial,Red Meat
2016-10-01,2016,10,Million Pounds,2211.2,Beef,Commercial,Red Meat
2016-09-01,2016,9,Million Pounds,2181.5,Beef,Commercial,Red Meat
2016-08-01,2016,8,Million Pounds,2265.8,Beef,Commercial,Red Meat
2016-07-01,2016,7,Million Pounds,2024.2,Beef,Commercial,Red Meat
2016-06-01,2016,6,Million Pounds,2193.0,Beef,Commercial,Red Meat
2016-05-01,2016,5,Million Pounds,2030.2,Beef,Commercial,Red Meat
2016-04-01,2016,4,Million Pounds,1964.0,Beef,Commercial,Red Meat
2016-03-01,2016,3,Million Pounds,2097.3,Beef,Commercial,Red Meat
2016-02-01,2016,2,Million Pounds,1886.0,Beef,Commercial,Red Meat
2016-01-01,2016,1,Million Pounds,1954.2,Beef,Commercial,Red Meat
2015-12-01,2015,12,Million Pounds,2046.3,Beef,Commercial,Red Meat
2015-11-01,2015,11,Million Pounds,1936.1,Beef,Commercial,Red Meat
2015-10-01,2015,10,Million Pounds,2126.3,Beef,Commercial,Red Meat
2015-09-01,2015,9,Million Pounds,2086.6,Beef,Commercial,Red Meat
2015-08-01,2015,8,Million Pounds,1934.9,Beef,Commercial,Red Meat
2015-07-01,2015,7,Million Pounds,2046.8,Beef,Commercial,Red Meat
2015-06-01,2015,6,Million Pounds,2001.6,Beef,Commercial,Red Meat
2015-05-01,2015,5,Million Pounds,1925.5,Beef,Commercial,Red Meat
2015-04-01,2015,4,Million Pounds,1928.8,Beef,Commercial,Red Meat
2015-03-01,2015,3,Million Pounds,1933.3,Beef,Commercial,Red Meat
2015-02-01,2015,2,Million Pounds,1768.1,Beef,Commercial,Red Meat
2015-01-01,2015,1,Million Pounds,1963.5,Beef,Commercial,Red Meat
2014-12-01,2014,12,Million Pounds,2000.2,Beef,Commercial,Red Meat
2014-11-01,2014,11,Million Pounds,1849.5,Beef,Commercial,Red Meat
2014-10-01,2014,10,Million Pounds,2171.1,Beef,Commercial,Red Meat
2014-09-01,2014,9,Million Pounds,2068.4,Beef,Commercial,Red Meat
